"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"VCX3B",1.52922958405051,8.43237460656892e-07,1.21888492344512,1.38079215771509,0.167342875475243,NA,"Stable"
"AL391361.2",6.02922918363172,-9.41701462004127e-07,1.16815011508528,-1.00236147496236,0.316169041611741,0.840245757294679,"Stable"
"AC007326.2",3.33649203338761,-5.87588037798614e-08,1.06462288645622,-1.50898100018547,0.131303638281803,NA,"Stable"
"LRRC26",2.40278968709148,1.19258144973306e-06,1.13923415256673,0.81012892427743,0.417866081957432,NA,"Stable"
"SNORA5C",5.21910185592325,-1.44666500774198e-06,0.493382895690867,0.841098319217549,0.400292856638694,0.873075770023151,"Stable"
"RPL19P21",5.36485987630823,-4.39694780746812e-07,0.379950023276453,-0.164226824599782,0.869552584812598,0.982331601206317,"Stable"
"PKD1P6-NPIPP1",3.75577143395375,1.47551977951694e-06,0.435005096399891,0.123478547750573,0.901728160697165,0.985936292466181,"Stable"
"LINC01988",5.86745209647716,-2.72236484855327e-06,0.738767457201449,-1.82457841720641,0.0680646728283227,0.549474134999515,"Stable"
"AGAP10P",5.42216537671519,2.10611218283102e-06,0.391116953177921,0.793298586866566,0.42760387995743,0.883551388619075,"Stable"
"RPS4XP6",4.20983481183653,-1.24316244792365e-06,0.536793890851145,-0.622699067517753,0.533482295610169,0.916702092078722,"Stable"
"AL023882.1",5.76201358138856,2.29650391446347e-06,0.647653453137207,1.53642520596364,0.124434128689763,0.668881399282177,"Stable"
"STYXL2",2.35499198606312,-9.3455240826073e-07,0.684120704173197,-0.594805864216331,0.551973247223401,NA,"Stable"
"AC005562.1",5.26597280676897,3.51206796296064e-06,0.376985007093592,1.27611131925653,0.201916170829988,0.760931755035003,"Stable"
"HNRNPA3P12",5.70602574205266,4.2596067496964e-07,0.413904479391605,0.164672828224907,0.869201504907763,0.982191965595776,"Stable"
"TTC24",5.47203502433858,-1.66788029770582,0.698861426289508,-3.19413856120125,0.00140248784245982,0.112620269328267,"Stable"
"AC233280.2",3.87324658738636,2.10950093984887e-06,0.515146331239978,1.0292602014809,0.303357419681546,0.836148030148288,"Stable"
"AC005740.4",7.50964394379686,3.34813117886042e-06,0.440011693088501,1.47820430900412,0.139353100909954,0.690988264930983,"Stable"
"C10orf67",1.6664938660834,-2.36390681439587e-06,1.16870865235626,-0.63292032282505,0.526785675693315,NA,"Stable"
"HNRNPA1P66",5.17272188766806,2.20658976769262e-06,0.705261651057414,1.64058705663689,0.10088316359342,0.63086678389116,"Stable"
"AL157400.2",7.11095587625808,-1.07954871259305e-07,0.447869277496186,-0.0489050799907997,0.960994940461239,0.996161290581858,"Stable"
"NCMAP-DT",6.92396994072008,-1.69037784501463e-06,0.657871695674827,-1.0341957902469,0.301044641786574,0.834704671132248,"Stable"
"AL137781.1",4.48144327578753,9.79241832167356e-07,0.564373265443321,0.540874958735198,0.588593771988332,0.934740859864353,"Stable"
"AL391244.1",4.64078169336553,6.06351296219104e-07,0.554315479721748,0.322106926170091,0.747371691365838,0.962405046054565,"Stable"
"RN7SL4P",5.89534550785788,-3.84446833069471e-06,0.41132777728056,-1.51153005382366,0.130653457426769,0.678341288559135,"Stable"
"GSTT2",3.2105576415346,1.71616223246023e-06,0.842408334744023,-0.707650001777076,0.479162633486926,NA,"Stable"
"LINC02505",2.73989849504913,5.73957916086565e-07,1.65125042039369,0.704431024921415,0.481164390677211,NA,"Stable"
"AC120057.3",5.48647660772744,-2.65522660557568e-06,0.397893422033158,-1.00395092438237,0.315402268897906,0.840245757294679,"Stable"
"RCAN3AS",8.26252655236933,-1.09873249909892e-06,0.692940143377567,-0.716719258848345,0.473547340114139,0.897753218279195,"Stable"
"ARHGAP29-AS1",7.88602429832727,8.5635550257567e-07,0.712229619101672,0.615309571085016,0.538350297976417,0.918479249567003,"Stable"
"GLRX5P3",4.73758859945585,-9.40292095572801e-07,0.369253252666958,-0.330873008488519,0.740740410817871,0.960881566644599,"Stable"
"AL138921.2",6.35647102196704,7.87500143675053e-07,0.433017197150537,0.322752247536726,0.746882880005861,0.962237850679358,"Stable"
"AC107081.3",4.12454090284074,1.05229234060442e-06,0.541867809931376,0.546873294280924,0.584465784155941,0.933284633035378,"Stable"
"AL807752.5",5.39965834825765,-5.31875190484587e-08,0.451523650980239,-2.46705337729789,0.0136230048484073,0.29340843889631,"Stable"
"AC091429.1",5.04410912679141,-1.91813681906438e-07,0.466766852519178,-0.0871982297531583,0.930513946450932,0.990714106218585,"Stable"
"LGALS7B",1.61559362937699,2.16608006823829,1.00515497716993,0.323704903184513,0.746161458368978,NA,"Stable"
"AC114730.3",5.55223324928651,-1.56489643298521e-07,0.463947841506976,-0.0712232080133527,0.943220110994934,0.992712909937422,"Stable"
"AL132656.4",5.0453272516889,9.30040259122022e-07,0.542450777869042,0.493225995151013,0.621852912105281,0.939238429230254,"Stable"
"AC137936.1",4.50666996879507,3.09127260006809e-06,0.728826658316542,2.49466578029225,0.0126075818000675,0.284020408560758,"Stable"
"RHOQP1",5.20697024119001,3.01513005112113e-07,0.466729006467761,0.132077987567714,0.894922606740459,0.985854768711449,"Stable"
"LINC02036",5.53709029505443,-1.05644468115015e-06,0.50360419291817,-0.501410147223132,0.616082499856451,0.937844790326334,"Stable"
"ST6GALNAC6",5.67855020184133,-4.94756526052558e-06,0.336477778529468,-1.57877920593866,0.114386709768086,0.652714519253803,"Stable"
"TPT1P6",5.12010680975197,-3.54419513018048e-06,0.460477442310083,-1.53141367678412,0.125667186033762,0.671002538208939,"Stable"
"LINC00571",7.66439178698661,-2.90554484006405e-06,0.605839369018359,-1.62752524583911,0.103625591248421,0.634470503301587,"Stable"
"RN7SL834P",6.79678005795659,-3.88562796262199e-06,0.604216423860019,-2.19475867321586,0.0281809134305123,0.399476801274404,"Stable"
"AC020907.5",4.9551816437771,-1.04336556961224e-07,0.66000806768047,-0.0680851058305171,0.94571788666802,0.993043109441399,"Stable"
"LINC01393",5.62899171922901,-5.53590007718143e-07,0.662010071158012,-0.350140561404438,0.726233211623573,0.959849350595888,"Stable"
"ADD3-AS1",5.81132603248534,-9.55623183559985e-07,0.499067323200346,-0.447002341700481,0.654873369129232,0.946390926134295,"Stable"
"AL137026.1",2.70702282592311,-8.12638534549083e-07,0.606753257544429,-0.476102900026463,0.634001071053102,NA,"Stable"
"AL662907.2",6.26764620274309,5.88052234812879e-07,0.350614976705077,0.195513840511581,0.844990703595885,0.979563285657982,"Stable"
"RPS26P58",6.6044693405709,3.66758548012314e-07,0.510787366918346,0.182373000337158,0.855290013077126,0.980572844251892,"Stable"
